Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
175,Manjula Tulshiram Gavit,SAKRI (ST),Shiv Sena,0,Graduate,"Rs 7,98,31,507 ~ 7 Crore+","Rs 6,67,735 ~ 6 Lacs+"
176,Manoj Bhimrao Ghorpade,KARAD NORTH,BJP,2,Graduate,"Rs 15,77,52,151 ~ 15 Crore+","Rs 1,77,42,259 ~ 1 Crore+"
177,Manoj Pandurang Jamsutkar,BYCULLA,Shiv Sena (Uddhav Balasaheb Thackeray),0,12th Pass,,
178,Mihir Kotecha,MULUND,BJP,0,12th Pass,"Rs 14,57,70,945 ~ 14 Crore+","Rs 9,16,70,919 ~ 9 Crore+"
179,Mohan Gopalrao Mate,NAGPUR SOUTH,BJP,2,Others,"Rs 1,77,88,926 ~ 1 Crore+","Rs 17,02,140 ~ 17 Lacs+"
180,Monica Rajeev Rajale,SHEVGAON,BJP,1,Graduate,,
181,Mrs Shweta Vidyadhar Mahale,CHIKHLI,BJP,6,Others,"Rs 7,17,40,028 ~ 7 Crore+","Rs 2,21,53,590 ~ 2 Crore+"
182,Mufti Mohammad Ismail Abdul Khalique,MALEGAON CENTRAL,All India Majlis-E-Ittehadul Muslimeen,2,Others,"Rs 75,20,027 ~ 75 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
183,Mungantiwar Sudhir Sacchidanand,BALLARPUR,BJP,2,Post Graduate,,
184,Murji Patel (Kaka),ANDHERI EAST,Shiv Sena,1,8th Pass,"Rs 14,76,47,443 ~ 14 Crore+","Rs 2,98,77,242 ~ 2 Crore+"
185,Mushrif Hasan Miyalal,KAGAL,NCP,3,Graduate,"Rs 13,70,10,273 ~ 13 Crore+","Rs 79,56,115 ~ 79 Lacs+"
186,Mutkule Tanhaji Sakharamji,HINGOLI,BJP,2,10th Pass,,
187,Namita Akshay Mundada,KAIJ (SC),BJP,0,Graduate Professional,"Rs 48,44,64,928 ~ 48 Crore+","Rs 8,29,63,467 ~ 8 Crore+"
188,Nanabhau Falgunrao Patole,SAKOLI,INC,4,12th Pass,"Rs 5,43,73,591 ~ 5 Crore+","Rs 1,00,00,000 ~ 1 Crore+"
189,Narahari Sitaram Zirwal,DINDORI (ST),NCP,0,12th Pass,,
