Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1034,Dashrathe Suhas Anant,AURANGABAD CENTRAL,MNS,0,Graduate,"Rs 1,20,20,000 ~ 1 Crore+","Rs 3,00,00,000 ~ 3 Crore+"
1035,Datke Pravin Prabhakarrao,NAGPUR CENTRAL,BJP,7,12th Pass,,
1036,Datta Bahirat,SHIVAJINAGAR,INC,0,12th Pass,"Rs 74,31,47,104 ~ 74 Crore+","Rs 13,11,028 ~ 13 Lacs+"
1037,Datta Bansi Jadhav,PUNE CANTONMENT (SC),IND,6,5th Pass,"Rs 84,000 ~ 84 Thou+","Rs 50,700 ~ 50 Thou+"
1038,Datta Mohan Tupe,OSMANABAD,IND,6,8th Pass,,
1039,Datta Ramchandra Vadekar,PANDHARPUR,BSP,0,8th Pass,"Rs 12,95,000 ~ 12 Lacs+",Rs 0 ~
1040,Datta Vithal Thorat,SOLAPUR CITY CENTRAL,IND,0,8th Pass,"Rs 2,96,298 ~ 2 Lacs+",Rs 0 ~
1041,Datta Vitthal Thorat,SOLAPUR CITY NORTH,Blue India Party,0,8th Pass,,
1042,Dattaram Vishnu Gaonkar,SAWANTWADI,IND,0,12th Pass,"Rs 13,95,000 ~ 13 Lacs+",Rs 0 ~
1043,Dattatray Appa Waghmode,SHRIGONDA,IND,0,5th Pass,"Rs 1,60,25,000 ~ 1 Crore+","Rs 3,00,000 ~ 3 Lacs+"
1044,Dattatray Atmaram Sonwane,KARJAT JAMKHED,BSP,0,8th Pass,,
1045,Dattatray Baban Kalbhor,SHIRUR,IND,4,Graduate,"Rs 13,13,84,290 ~ 13 Crore+","Rs 8,39,38,749 ~ 8 Crore+"
1046,Dattatray Bhanudas Suryawanshi,NILANGA,IND,0,12th Pass,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~
1047,Dattatray Kondiram Visawale,MAJALGAON,IND,0,8th Pass,,
1048,Dattatray Nagnath Pandhare,SOLAPUR CITY NORTH,IND,0,10th Pass,"Rs 1,25,000 ~ 1 Lacs+",Rs 0 ~
1049,Dattatray Radhakisan Gorde,PAITHAN,Shiv Sena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 2,63,31,311 ~ 2 Crore+","Rs 56,62,547 ~ 56 Lacs+"
1050,Dattatray Sonba Bharane,INDAPUR,IND,0,8th Pass,,
1051,Dattatray Vishwanath Suryawanshi,NILANGA,IND,0,10th Pass,"Rs 18,51,000 ~ 18 Lacs+",Rs 0 ~
1052,Dattatraya Dagdu Kakde,SINDHKHED RAJA,Swatantra Bharat Paksha,0,Literate,"Rs 47,23,75,850 ~ 47 Crore+","Rs 19,90,08,964 ~ 19 Crore+"
1053,Dattatraya Devidas Kadam,TULJAPUR,IND,0,8th Pass,,
1054,Dattatraya Raosaheb Dhage,SANGMNER,IND,0,Graduate,"Rs 56,09,075 ~ 56 Lacs+","Rs 4,37,000 ~ 4 Lacs+"
1055,Dattatraya Shankar Bhusnar,JAT,IND,0,Graduate,"Rs 15,20,000 ~ 15 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
1056,Dattatraya Vithoba Bharane,INDAPUR,NCP,0,12th Pass,,
1057,Dattatreya Dasharat Tavare,VANDRE  WEST,IND,0,Others,"Rs 14,50,845 ~ 14 Lacs+","Rs 1,74,000 ~ 1 Lacs+"
1058,Dattatry Bhimarao Bamane,TASGAON-KAVATHE MAHANKAL,IND,1,Graduate,"Rs 22,97,883 ~ 22 Lacs+","Rs 1,29,000 ~ 1 Lacs+"
1059,Dattu Rangrao Patil,ERANDOL,IND,3,Graduate,,
1060,Daulat Baban Jadhav,KURLA (SC),IND,1,10th Pass,"Rs 22,09,354 ~ 22 Lacs+","Rs 5,60,000 ~ 5 Lacs+"
1061,Daulat Bhika Daroda,SHAHAPUR (ST),NCP,1,Graduate,"Rs 4,15,83,137 ~ 4 Crore+","Rs 3,47,453 ~ 3 Lacs+"
1062,David Pralhadrao Dhumare,JALNA,Vanchit Bahujan Aaghadi,0,10th Pass,,
1063,Dayanand Maruti Kamble,KARVIR,Vanchit Bahujan Aaghadi,1,Graduate,"Rs 25,92,388 ~ 25 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
1064,Dayanand Motiram Choraghe,BHIWANDI  WEST,INC,0,8th Pass,"Rs 44,09,04,288 ~ 44 Crore+","Rs 1,10,03,140 ~ 1 Crore+"
1065,Dayanand Narayan Landge,PARLI,IND,0,12th Pass,,
1066,Deepak Arjun Kamble,AHMEDPUR,IND,0,Graduate Professional,"Rs 9,72,000 ~ 9 Lacs+","Rs 20,000 ~ 20 Thou+"
1067,Deepak Balram Shinde,PARBHANI,IND,1,12th Pass,"Rs 21,000 ~ 21 Thou+",Rs 0 ~
1068,Deepak Chandrakant Patodkar,YEVLA,Nirbhay Maharashtra Party,0,12th Pass,,
1069,Deepak Datta Khandare,KALYAN RURAL,BSP,0,8th Pass,"Rs 48,023 ~ 48 Thou+",Rs 0 ~
1070,Deepak Mahadeorao Madavi,ARVI,IND,0,10th Pass,"Rs 56,12,47,067 ~ 56 Crore+","Rs 18,82,42,078 ~ 18 Crore+"
1071,Deepak Pundlik Akode,DHAMANGAON RAILWAY,Jai Hind Jai Bharat Rashtriya Party,0,Post Graduate,,
1072,Deepak Ramdas Bodkhe,AKOT,Vanchit Bahujan Aaghadi,1,Others,"Rs 13,90,04,282 ~ 13 Crore+","Rs 86,73,218 ~ 86 Lacs+"
1073,Deepak Ramkisan Bhalerao,KALYAN RURAL,IND,2,8th Pass,"Rs 1,78,632 ~ 1 Lacs+","Rs 24,117 ~ 24 Thou+"
1074,Deepak Shivaji Hanwate,MAGATHANE,Vanchit Bahujan Aaghadi,5,Graduate,,
1075,Deepak Vasantrao Kesarkar,SAWANTWADI,Shiv Sena,0,Graduate,"Rs 1,27,77,77,466 ~ 127 Crore+","Rs 29,27,21,068 ~ 29 Crore+"
1076,Deepakbhau Nikalje,CHEMBUR,Republican Party of India (A),1,10th Pass,"Rs 22,52,45,400 ~ 22 Crore+","Rs 1,42,00,000 ~ 1 Crore+"
1077,Degloorkar Sushilkumar Vitthalrao,DEGLUR (SC),Vanchit Bahujan Aaghadi,1,Graduate,,
1078,Deodatta Bhagwat More,OSMANABAD,MNS,3,10th Pass,"Rs 11,95,42,430 ~ 11 Crore+",Rs 0 ~
1079,Deoman Zulal Thakare,NANDURBAR (ST),IND,0,Others,"Rs 16,35,000 ~ 16 Lacs+",Rs 0 ~
1080,Deorao Bhaurao Hivrale,KHAMGAON,Vanchit Bahujan Aaghadi,7,12th Pass,,
1081,Deorao Vithoba Bhongle,RAJURA,BJP,4,Post Graduate,"Rs 6,54,00,831 ~ 6 Crore+","Rs 27,07,926 ~ 27 Lacs+"
1082,Derkar Sanjay Nilkanthrao,WANI,Shiv Sena (Uddhav Balasaheb Thackeray),0,Post Graduate,"Rs 7,35,42,068 ~ 7 Crore+","Rs 30,38,277 ~ 30 Lacs+"
1083,Derkar Tushar Pradeep,HINGNA,IND,3,12th Pass,,
1084,Desai Shambhuraj Shivajirao,PATAN,Shiv Sena,0,12th Pass,"Rs 19,60,47,063 ~ 19 Crore+","Rs 5,45,50,528 ~ 5 Crore+"
1085,Desha Shyam Banjara,YAVATMAL,IND,0,Graduate Professional,"Rs 84,41,665 ~ 84 Lacs+","Rs 44,00,000 ~ 44 Lacs+"
1086,Deshmukh Milind Uttamrao,NANDED NORTH,IND,0,12th Pass,,
1087,Deshmukh Rupesh Manoharrao,GANGAKHED,MNS,2,12th Pass,"Rs 1,44,56,000 ~ 1 Crore+","Rs 19,00,000 ~ 19 Lacs+"
1088,Deshmukh Sahebrao Shahajirao,BARSHI,IND,0,Post Graduate,"Rs 4,53,83,508 ~ 4 Crore+","Rs 69,34,963 ~ 69 Lacs+"
1089,Deshmukh Salil Anilbabu,KATOL,NCP-Sharadchandra Pawar,6,Post Graduate,,
1090,Deshmukh Satyajit Shivajirao,SHIRALA,BJP,0,Graduate,"Rs 12,39,56,590 ~ 12 Crore+","Rs 2,45,15,570 ~ 2 Crore+"
1091,Deshmukh Subhash Sureshchandra,SOLAPUR SOUTH,BJP,12,10th Pass,"Rs 62,75,72,485 ~ 62 Crore+","Rs 21,68,29,128 ~ 21 Crore+"
1092,Deshmukh Vijay Sidramappa,SOLAPUR CITY NORTH,BJP,3,Graduate,,
1093,Deshmukh Vinayraj Vishwasrao,PARANDA,IND,1,Graduate,"Rs 2,26,48,852 ~ 2 Crore+","Rs 9,79,000 ~ 9 Lacs+"
1094,Devabhau Alias Dr.Devendra Ramkrushna Kaikade,HINGNA,BSP,0,Post Graduate,"Rs 7,88,83,623 ~ 7 Crore+","Rs 3,18,28,539 ~ 3 Crore+"
1095,Devabhau Haribhau Waghmare,NASHIK  WEST,IND,0,8th Pass,,
1096,Devaji Gangaram Asole,KALAMNURI,IND,0,5th Pass,"Rs 3,51,33,000 ~ 3 Crore+",Rs 0 ~
1097,Devanand Bharat Paikrao,UMARKHED (SC),Aazad Samaj Party (Kanshi Ram),0,Post Graduate,"Rs 17,20,000 ~ 17 Lacs+",Rs 0 ~
1098,Devangana Vijay Gadhave,BHANDARA (SC),IND,0,Post Graduate,,
1099,Devavilas Tularam Bhogare,AMGAON (ST),Rashtriya Gondvana Party,1,Graduate,"Rs 7,56,000 ~ 7 Lacs+",Rs 0 ~
1100,Devdatta Jayvantrao Nikam,AMBEGAON,NCP-Sharadchandra Pawar,1,Graduate,"Rs 3,00,57,102 ~ 3 Crore+","Rs 18,68,448 ~ 18 Lacs+"
1101,Devdatta Shivajirao Nikam,AMBEGAON,Bhartiya Dharmanirpeksha Party,0,Graduate Professional,,
1102,Devendra Gangadhar Fadnavis,NAGPUR SOUTH WEST,BJP,4,Graduate Professional,"Rs 13,27,47,728 ~ 13 Crore+","Rs 62,00,000 ~ 62 Lacs+"
1103,Devendra Mahadevrao Bhuyar,MORSHI,NCP,4,12th Pass,"Rs 1,01,00,000 ~ 1 Crore+","Rs 1,70,000 ~ 1 Lacs+"
1104,Devendra Maruti Koli,PEN,Vanchit Bahujan Aaghadi,0,Graduate,,
1105,Devendra Nana Mohite,HATKANANGLE (SC),IND,0,Graduate Professional,"Rs 4,67,000 ~ 4 Lacs+",Rs 0 ~
1106,Devendra Rajesh Kothe,SOLAPUR CITY CENTRAL,BJP,2,Graduate Professional,"Rs 13,21,71,258 ~ 13 Crore+","Rs 8,56,40,691 ~ 8 Crore+"
1107,Devidas Anandrao Nikam,AMBARNATH (SC),IND,0,10th Pass,,
1108,Devidas Gahininath Jaybhaye,ASHTI,IND,1,12th Pass,"Rs 69,24,000 ~ 69 Lacs+","Rs 11,90,000 ~ 11 Lacs+"
1109,Devidas Piraji Sarkate,MEHKAR (SC),IND,0,12th Pass,"Rs 85,000 ~ 85 Thou+",Rs 0 ~
1110,Devidas Ratan Kasbe,GANGAPUR,IND,0,10th Pass,,
1111,Devidas Shankar Dupargude,SOLAPUR CITY CENTRAL,IND,0,12th Pass,"Rs 1,10,931 ~ 1 Lacs+",Rs 0 ~
1112,Devidas Yashavant Shinde,ASHTI,IND,0,8th Pass,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~
1113,Devram Sakharam Lande,JUNNAR,Vanchit Bahujan Aaghadi,4,5th Pass,,
1114,Devsari Uttam Chavhan,KARANJA,IND,0,10th Pass,"Rs 17,86,000 ~ 17 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
1115,Devsarkar Madhav Dadarao,HADGAON,Maharashtra Swarajya party,11,8th Pass,"Rs 96,85,998 ~ 96 Lacs+","Rs 19,57,482 ~ 19 Lacs+"
1116,Devyani Suhas Pharande,NASHIK (CENTRAL),BJP,4,Post Graduate,,
1117,Dhabekar Sunil Kesheorao,KARANJA,Vanchit Bahujan Aaghadi,0,10th Pass,"Rs 24,66,47,259 ~ 24 Crore+","Rs 1,15,52,176 ~ 1 Crore+"
1118,Dhanaji Ashok Topale,IGATPURI (ST),BSP,0,12th Pass,"Rs 9,24,865 ~ 9 Lacs+",Rs 0 ~
1119,Dhanaji Gautam Humbe,TULJAPUR,IND,1,12th Pass,,
1120,Dhanaji Jagannath Gurav (Shivarekar),SHAHUWADI,IND,0,10th Pass,"Rs 9,40,000 ~ 9 Lacs+",Rs 0 ~
1121,Dhanaji Ramchandra Senapatikar,KAGAL,Vanchit Bahujan Aaghadi,0,Post Graduate,"Rs 31,83,000 ~ 31 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
1122,Dhananjay Anandrao Jagadale,BARSHI,Vanchit Bahujan Aaghadi,0,Graduate Professional,,
1123,Dhananjay Baburao Bodare,KALYAN EAST,Shiv Sena (Uddhav Balasaheb Thackeray),6,Others,"Rs 3,56,51,000 ~ 3 Crore+","Rs 6,78,888 ~ 6 Lacs+"
1124,Dhananjay Hari Gadgil,SANGLI,BJP,0,Graduate,"Rs 97,87,31,153 ~ 97 Crore+","Rs 12,22,91,498 ~ 12 Crore+"
1125,Dhananjay Krishnaji Dhapodkar,NAGPUR SOUTH,IND,0,Post Graduate,,
1126,Dhananjay Murlidhar Tarkase Patil,TULJAPUR,Rashtriya Samaj Paksha,0,Post Graduate,"Rs 51,77,500 ~ 51 Lacs+","Rs 26,00,000 ~ 26 Lacs+"
1127,Dhananjay Panditrao Munde,PARLI,NCP,4,Graduate Professional,"Rs 39,84,45,121 ~ 39 Crore+","Rs 15,46,51,997 ~ 15 Crore+"
1128,Dhananjay Shravanji Shende,KATOL,IND,0,12th Pass,,
1129,Dhananjay Vithal Gawade,NALASOPARA,Prahar Janshakti Party,12,Graduate,"Rs 11,86,26,601 ~ 11 Crore+","Rs 28,03,03,490 ~ 28 Crore+"
1130,Dhanendra Balvir Turkar,TUMSAR,IND,0,Post Graduate,"Rs 1,90,25,286 ~ 1 Crore+","Rs 18,99,453 ~ 18 Lacs+"
1131,Dhangekar Ravindra Hemraj,KASBA PETH,INC,12,8th Pass,,
1132,Dhanve Shivanand Ramrao,DEGLUR (SC),IND,0,12th Pass,"Rs 96,500 ~ 96 Thou+","Rs 1,17,000 ~ 1 Lacs+"
1133,Dharam Dilipsingh Thakur,YAVATMAL,Rashtriya Samaj Paksha,0,Graduate,"Rs 3,85,000 ~ 3 Lacs+",Rs 0 ~
1134,Dharmendra Barku Borse,SAKRI (ST),IND,0,12th Pass,,
1135,Dharmendra Mandlik (Parate),NAGPUR CENTRAL,Desh Janhit Party,0,Post Graduate,"Rs 30,30,000 ~ 30 Lacs+",Rs 0 ~
1136,Dharmendra Rammurat Pandey,DAHISAR,IND,0,12th Pass,"Rs 1,93,500 ~ 1 Lacs+","Rs 33,422 ~ 33 Thou+"
1137,Dharmendranath Thakur,JOGESHWARI EAST,IND,1,Graduate,,
1138,Dharmraj Anil Bansode,CHINCHWAD,IND,0,12th Pass,"Rs 2,10,000 ~ 2 Lacs+","Rs 10,15,937 ~ 10 Lacs+"
1139,Dharmraj Annaraj Kadadi,SOLAPUR SOUTH,IND,15,Graduate Professional,"Rs 1,44,73,29,252 ~ 144 Crore+","Rs 39,36,625 ~ 39 Lacs+"
1140,Dhas Suresh Ramchandra,ASHTI,BJP,5,Graduate,,
1141,Dhaware Rajesh Narayan,KINWAT,IND,0,Graduate,"Rs 6,63,500 ~ 6 Lacs+",Rs 0 ~
1142,Dhepale Dnyaneshwar Shankar,NIPHAD,Rashtriya Samaj Paksha,0,Others,"Rs 29,90,937 ~ 29 Lacs+",Rs 0 ~
1143,Dhiraj Ashokrao Herode,ARVI,IND,0,12th Pass,,
1144,Dhiraj Bhojraj Gajbhiye,NAGPUR CENTRAL,IND,0,10th Pass,"Rs 76,30,000 ~ 76 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
1145,Dhiraj Madhukar Kamble,AHMEDPUR,Sainik Samaj Party,0,10th Pass,"Rs 51,000 ~ 51 Thou+",Rs 0 ~
1146,Dhiraj Manik Kolekar,KARMALA,IND,1,Graduate,,
1147,Dhiraj Pandit Patil,TULJAPUR,Aadarsh Sangram Party,0,Graduate,"Rs 34,00,000 ~ 34 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
1148,Dhiraj Subhash More,BAGLAN (ST),Lokrajya Party,1,12th Pass,"Rs 6,25,000 ~ 6 Lacs+","Rs 80,000 ~ 80 Thou+"
1149,Dhiraj Vilasrao Deshmukh,LATUR RURAL,INC,0,Post Graduate,,
1150,Dhondiram Laxman Ujgare,PARLI,BSP,0,Post Graduate,"Rs 9,52,500 ~ 9 Lacs+",Rs 0 ~
1151,Dhote Subhash Ramchandrarao,RAJURA,INC,1,Graduate,"Rs 4,94,15,011 ~ 4 Crore+","Rs 8,47,380 ~ 8 Lacs+"
1152,Dhotre Dilip Kashinath,PANDHARPUR,MNS,3,Post Graduate,,
1153,Dhumal Gajanan Dattaramji,NANDED NORTH,Buland Bharat Party,0,Graduate,"Rs 10,75,000 ~ 10 Lacs+",Rs 0 ~
1154,Digambar Bapurao Karhale,BHOKARDAN,Bhartiya Veer Kisan Party,0,8th Pass,"Rs 24,00,000 ~ 24 Lacs+",Rs 0 ~
1155,Digambar Waman Bhagat,AMRAVATI,Jan Janwadi Party,0,10th Pass,,
1156,Digamber Rohidas Agawane,PHALTAN (SC),Rashtriya Samaj Paksha,35,12th Pass,"Rs 27,56,62,205 ~ 27 Crore+","Rs 22,15,97,654 ~ 22 Crore+"
1157,Digvijay Digambarrao Bagal,KARMALA,Shiv Sena,2,Graduate Professional,"Rs 1,79,10,220 ~ 1 Crore+","Rs 1,00,00,000 ~ 1 Crore+"
1158,Diksha Moreshwar Bodele,SAKOLI,Bahujan Republican Socialist Party,0,12th Pass,,
1159,Dilip Aala Rathod,HADGAON,Vanchit Bahujan Aaghadi,0,Post Graduate,"Rs 1,28,52,018 ~ 1 Crore+","Rs 19,00,000 ~ 19 Lacs+"
1160,Dilip Bhausaheb Gaikwad,KOPARGAON,IND,0,12th Pass,"Rs 1,50,10,000 ~ 1 Crore+",Rs 0 ~
1161,Dilip Bhausaheb Lande,CHANDIVALI,Shiv Sena,11,Graduate,,
1162,Dilip Dattatray Mohite,KHED ALANDI,NCP,6,10th Pass,"Rs 40,57,45,034 ~ 40 Crore+","Rs 1,72,43,483 ~ 1 Crore+"
1163,Dilip Dattatray Walse Patil,AMBEGAON,NCP,1,Post Graduate,"Rs 6,06,42,469 ~ 6 Crore+","Rs 48,74,069 ~ 48 Lacs+"
1164,Dilip Dharmsing Jadhav Naik,KINWAT,IND,0,10th Pass,,
1165,Dilip Gangadhar Sopal,BARSHI,Shiv Sena (Uddhav Balasaheb Thackeray),2,Graduate Professional,"Rs 34,32,59,078 ~ 34 Crore+","Rs 60,000 ~ 60 Thou+"
1166,Dilip Govind Bhoir,ALIBAG,IND,0,8th Pass,"Rs 15,34,320 ~ 15 Lacs+","Rs 45,000 ~ 45 Thou+"
1167,Dilip Gulabrao Lingayat,CHARKOP,Vanchit Bahujan Aaghadi,0,Graduate,,
1168,Dilip Gyanoba Dhopate,HADGAON,IND,0,5th Pass,"Rs 6,05,000 ~ 6 Lacs+","Rs 3,60,000 ~ 3 Lacs+"
1169,Dilip Hira Shah,VANDRE EAST,IND,1,Others,"Rs 2,78,723 ~ 2 Lacs+",Rs 0 ~
1170,Dilip Kashinath Yadav,RATNAGIRI,IND,0,10th Pass,,
1171,Dilip Lande,CHANDIVALI,IND,1,Graduate,"Rs 82,000 ~ 82 Thou+",Rs 0 ~
1172,Dilip Mahadev Mane,ASHTI,Vanchit Bahujan Aaghadi,0,Literate,"Rs 2,21,000 ~ 2 Lacs+",Rs 0 ~
1173,Dilip Manglu Borse,BAGLAN (ST),BJP,0,Graduate,,
1174,Dilip Motiram Khamanakar,JAMNER,IND,0,Literate,"Rs 2,45,613 ~ 2 Lacs+",Rs 0 ~
1175,Dilip Nana Chandane,GEORAI,Sampoorna Bharat Kranti Party,0,5th Pass,"Rs 4,20,000 ~ 4 Lacs+",Rs 0 ~
1176,Dilip Rajaram Salunkhe,BHANDUP WEST,IND,1,12th Pass,,
1177,Dilip Ramadhin Jula,AMGAON (ST),BSP,0,12th Pass,"Rs 82,000 ~ 82 Thou+",Rs 0 ~
1178,Dilip Ukandrao Sonale,HADGAON,IND,0,Post Graduate,"Rs 21,01,267 ~ 21 Lacs+",Rs 0 ~
1179,Dilip Veankatrao Kandakurte,NANDED SOUTH,IND,0,10th Pass,,
1180,Dilip Vitthal Bhoir Alias Chotamshet,ALIBAG,IND,3,5th Pass,"Rs 5,52,05,985 ~ 5 Crore+","Rs 75,54,000 ~ 75 Lacs+"
1181,Dilipbhau Onkar Wagh,PACHORA,IND,1,12th Pass,"Rs 3,63,71,134 ~ 3 Crore+","Rs 1,16,06,030 ~ 1 Crore+"
1182,Dinesh Dudharam Tekam,TIRORA,Janseva Gondwana Party,0,12th Pass,,
1183,Dinesh Kashinath Valvi,NAWAPUR (ST),IND,0,Graduate,"Rs 85,26,000 ~ 85 Lacs+","Rs 6,14,144 ~ 6 Lacs+"
1184,Dinesh Muktiram Lone,BHOKAR,Republican Sena,2,Post Graduate,"Rs 27,56,000 ~ 27 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
1185,Dinesh Prakash Sukode,DIGRAS,IND,0,Others,,
1186,Dinesh Ramratan Panchabhai,ARJUNI MORGAON (SC),Vanchit Bahujan Aaghadi,0,12th Pass,"Rs 57,25,000 ~ 57 Lacs+","Rs 47,68,000 ~ 47 Lacs+"
1187,Dinesh Rohidas Mangale,PARANDA,IND,0,10th Pass,"Rs 2,84,11,658 ~ 2 Crore+","Rs 97,00,000 ~ 97 Lacs+"
1188,Dinesh Salvi,CHARKOP,MNS,7,8th Pass,,
1189,Dinesh Shambhudayal Shrivas,AKOLA WEST,Lokataantrik Janaadhaar Party,0,8th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
1190,Dineshkumar Keshav Prasad,VERSOVA,IND,0,12th Pass,"Rs 56,71,000 ~ 56 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
1191,Dinkar Baburao Mane,AUSA,Shiv Sena (Uddhav Balasaheb Thackeray),0,10th Pass,,
1192,Dinkar Bhimrao Kharat,PHOLAMBARI,Aazad Samaj Party (Kanshi Ram),0,Graduate,"Rs 1,41,92,174 ~ 1 Crore+","Rs 97,60,104 ~ 97 Lacs+"
1193,Dinkar Dharma Patil,NASHIK WEST,MNS,1,8th Pass,"Rs 18,08,01,931 ~ 18 Crore+","Rs 3,27,98,864 ~ 3 Crore+"
1194,Dinkar Ughade,GANSAVANGI,IND,0,10th Pass,,
1195,Dipak (Balu) Raut,NANDED NORTH,IND,4,5th Pass,"Rs 2,65,000 ~ 2 Lacs+",Rs 0 ~
1196,Dipak Ashok Sawant,UDGIR (SC),BSP,0,Post Graduate,Nil,Rs 0 ~
1197,Dipak Bhimrao Borhade,BHOKARDAN,Vanchit Bahujan Aaghadi,4,12th Pass,,
1198,Dipak Dhanraj Dhuriya,HINGOLI,Bhartiya Jan Samrat Party,0,12th Pass,"Rs 1,02,000 ~ 1 Lacs+",Rs 0 ~
1199,Dipak Kedar,MEHKAR (SC),Maharashtra Swarajya party,10,Graduate Professional,"Rs 9,22,000 ~ 9 Lacs+",Rs 0 ~
1200,Dipak Rajabhau Ingale,LATUR RURAL,IND,1,Graduate,,
1201,Dipak Rajkumar Panchmukh,AMBEGAON,Vanchit Bahujan Aaghadi,0,10th Pass,"Rs 8,03,19,445 ~ 8 Crore+","Rs 1,08,71,131 ~ 1 Crore+"
1202,Dipak Shivram More,BAGLAN (ST),Bhartiya Tribal Party,0,5th Pass,"Rs 4,15,500 ~ 4 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
1203,Dipak Shridhar Satpute,MIRAJ (SC),IND,0,12th Pass,,
1204,Dipak Shriram Tirke,RISOD,Rashtriya Samaj Paksha,0,10th Pass,"Rs 65,50,000 ~ 65 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
1205,Dipak Sunil Kadam,KARAD NORTH,IND,1,10th Pass,"Rs 41,92,343 ~ 41 Lacs+",Rs 0 ~
1206,Dipak Tarachand Gajbhiye,BHANDARA (SC),IND,1,Graduate,,
1207,Dipak Vitthal Barde,RAHURI,IND,0,Literate,"Rs 2,75,000 ~ 2 Lacs+",Rs 0 ~
1208,Dipakaba Bapusaheb Salunkhe,SANGOLA,Shiv Sena (Uddhav Balasaheb Thackeray),14,Graduate,"Rs 18,95,38,089 ~ 18 Crore+","Rs 3,69,61,268 ~ 3 Crore+"
1209,Dipesh Pundlik Mhatre,DOMBIVALI,Shiv Sena (Uddhav Balasaheb Thackeray),4,12th Pass,,
1210,Diwakar Gulab Pendam,GADCHIROLI (ST),IND,0,12th Pass,"Rs 1,82,078 ~ 1 Lacs+",Rs 0 ~
1211,Diwakar Kundlik Gaikwad,BHOKARDAN,IND,0,Graduate Professional,"Rs 5,42,000 ~ 5 Lacs+",Rs 0 ~
1212,Dnyandev Karbhari Padale,NEVASA,IND,1,5th Pass,,
1213,Dnyaneshvar Sambhaji Ubale,SANGOLA,IND,0,Literate,"Rs 6,91,500 ~ 6 Lacs+","Rs 20,000 ~ 20 Thou+"
1214,Dnyaneshwar Alias Mauli Aba Katke,SHIRUR,NCP,4,12th Pass,"Rs 9,45,00,192 ~ 9 Crore+","Rs 3,40,85,700 ~ 3 Crore+"
1215,Dnyaneshwar Arun Panchwagh,PANDHARPUR,IND,0,12th Pass,,
1216,Dnyaneshwar Dattatray Gade,RAHURI,MNS,2,Graduate,"Rs 44,70,000 ~ 44 Lacs+","Rs 28,00,000 ~ 28 Lacs+"
1217,Dnyaneshwar Eknath Ghodake,VAIJAPUR,IND,2,12th Pass,"Rs 25,80,000 ~ 25 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
1218,Dnyaneshwar Eknath Nagrale,CHANDRAPUR (SC),Republican Party of India (A),0,10th Pass,,
1219,Dnyaneshwar Kacharu Pachorkar (Sir),CHANDWAD,IND,0,Graduate Professional,"Rs 1,27,956 ~ 1 Lacs+","Rs 2,52,000 ~ 2 Lacs+"
1220,Dnyaneshwar Shankar Sultane,AKOLA EAST,Vanchit Bahujan Aaghadi,1,Graduate Professional,"Rs 2,54,10,960 ~ 2 Crore+","Rs 14,66,371 ~ 14 Lacs+"
1221,Dnyaneshwar Shankarrao Bhokare,HADAPSAR,IND,0,10th Pass,,
1222,Dnynoba Janardhan Salunke,AKKALKOT,IND,0,10th Pass,"Rs 38,56,500 ~ 38 Lacs+",Rs 0 ~
1223,Dodke Sachin Shivajirao,KHADAKWASALA,NCP-Sharadchandra Pawar,0,10th Pass,"Rs 58,27,56,148 ~ 58 Crore+","Rs 4,83,91,613 ~ 4 Crore+"
1224,Dodmani Mahadev Bhimarao,TASGAON-KAVATHE MAHANKAL,IND,1,12th Pass,,
1225,Dolas Harish Bajirao,BHOSARI,IND,1,8th Pass,"Rs 10,000 ~ 10 Thou+",Rs 0 ~
1226,Dongare Kirti Deepak,NAGPUR NORTH (SC),All India Majlis-E-Ittehadul Muslimeen,0,Others,"Rs 1,64,75,757 ~ 1 Crore+","Rs 45,00,000 ~ 45 Lacs+"
1227,Dongre Manoj Youraj,TIRORA,IND,0,Graduate,,
1228,Dr Ajay Rajshri Baburam Gupta,BELAPUR,Sambhaji Brigade Party,0,Doctorate,"Rs 3,27,15,560 ~ 3 Crore+","Rs 36,00,000 ~ 36 Lacs+"
1229,Dr Arjunkumar Sitaram Rathod,PUSAD,Jan Janwadi Party,2,Doctorate,"Rs 2,85,13,000 ~ 2 Crore+","Rs 50,000 ~ 50 Thou+"
1230,Dr Ashishrao Deshmukh,SAVNER,BJP,5,Doctorate,,
