Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1865,Kausar Sultana Altaf Ahmed,BHOKAR,Indian National League,0,10th Pass,"Rs 76,31,826 ~ 76 Lacs+","Rs 4,15,000 ~ 4 Lacs+"
1866,Kaushalya Fattesing Gavit,NAWAPUR (ST),IND,0,5th Pass,,
1867,Kaushalya Sanjay Bhandalkar,BARAMATI,IND,0,Post Graduate,"Rs 36,77,776 ~ 36 Lacs+","Rs 9,95,422 ~ 9 Lacs+"
1868,Kaustubh Satishchandra Bahulekar,KALYAN WEST,IND,0,Graduate,"Rs 36,84,323 ~ 36 Lacs+","Rs 35,48,423 ~ 35 Lacs+"
1869,Kaveri Baliram Khatke,GANSAVANGI,Vanchit Bahujan Aaghadi,0,10th Pass,,
1870,Kavita Vinaykumar Patekar,PARVATI,IND,3,10th Pass,"Rs 25,85,000 ~ 25 Lacs+","Rs 22,75,000 ~ 22 Lacs+"
1871,Kawade Shivaji Popatrao,KOPARGAON,Baliraja Party,0,10th Pass,"Rs 27,11,094 ~ 27 Lacs+","Rs 4,46,025 ~ 4 Lacs+"
1872,Kawale Rohini,MUKTAINAGAR,IND,0,5th Pass,,
1873,Kayande Manoj Devanand,SINDHKHED RAJA,NCP,0,Graduate,"Rs 1,90,13,155 ~ 1 Crore+",Rs 0 ~
1874,Kayyum Kasam Patel,NASHIK EAST,IND,4,8th Pass,"Rs 13,54,000 ~ 13 Lacs+","Rs 14,50,000 ~ 14 Lacs+"
1875,Keda (Nana) Tanaji Aher,CHANDWAD,IND,2,Graduate Professional,,
1876,Kedar Prakash Dighe,KOPRI-PACHPAKHADI,Shiv Sena (Uddhav Balasaheb Thackeray),2,Graduate,"Rs 1,20,56,255 ~ 1 Crore+","Rs 10,00,000 ~ 10 Lacs+"
1877,Kedar Yogesh Shankar,TULJAPUR,IND,3,Graduate,"Rs 24,45,000 ~ 24 Lacs+","Rs 3,06,000 ~ 3 Lacs+"
1878,Kedarnath Vaijnath Jadhav,PARLI,Peasants And Workers Party of India,0,10th Pass,,
1879,Keshav Anandrao Janjal,BHOKARDAN,IND,3,Graduate,"Rs 1,70,06,645 ~ 1 Crore+","Rs 17,41,739 ~ 17 Lacs+"
1880,Keshav Madhukar Joshi (Kailas),MULUND,IND,0,10th Pass,"Rs 67,00,000 ~ 67 Lacs+",Rs 0 ~
1881,Keshav Ramkisan Dethe,BHOKARDAN,IND,0,12th Pass,,
1882,Keshav Sitaram Ramteke,CHIMUR,IND,0,Literate,"Rs 6,21,857 ~ 6 Lacs+",Rs 0 ~
1883,Ketan Asaram Meshram,ARJUNI MORGAON (SC),IND,0,12th Pass,"Rs 1,60,500 ~ 1 Lacs+",Rs 0 ~
1884,Ketan Kishore Bawane,MALABAR HILL,Right to Recall Party,0,Post Graduate,,
1885,Ketan Natthuji Parkhi,WANI,IND,0,Graduate Professional,"Rs 13,11,269 ~ 13 Lacs+","Rs 5,23,224 ~ 5 Lacs+"
1886,Ketan Natthuji Parkhi,NAGPUR SOUTH,IND,0,Graduate Professional,"Rs 13,13,769 ~ 13 Lacs+","Rs 5,23,197 ~ 5 Lacs+"
1887,Kevalram Vasudev Pardhi,BRAMHAPURI,BSP,0,Illiterate,,
1888,Kewalram Tulsiram Kale,MELGHAT (ST),BJP,0,10th Pass,"Rs 1,33,55,106 ~ 1 Crore+","Rs 15,09,256 ~ 15 Lacs+"
1889,Kewate Vidwan Shamrao,UMARKHED (SC),IND,0,Post Graduate,"Rs 58,24,000 ~ 58 Lacs+",Rs 0 ~
1890,Khadase Rohini,MUKTAINAGAR,IND,0,Graduate,,
1891,Khadase Rohinitai,MUKTAINAGAR,IND,0,10th Pass,"Rs 15,000 ~ 15 Thou+",Rs 0 ~
1892,Khade Sanjay Ramchandra,WANI,IND,0,12th Pass,"Rs 2,44,83,059 ~ 2 Crore+","Rs 18,54,300 ~ 18 Lacs+"
1893,Khadse Vijayrao Yadavrao,UMARKHED (SC),IND,0,10th Pass,,
1894,Khajasab Rasulsab Mulla,OVALA MAJIWADA,IND,0,Graduate,"Rs 54,500 ~ 54 Thou+",Rs 0 ~
1895,Khalid Ahamad Khan Talib Khan,CHIKHLI,JD(S),1,10th Pass,"Rs 1,00,97,650 ~ 1 Crore+","Rs 10,00,000 ~ 10 Lacs+"
1896,Khallobai Yunus Tadavi,RAVER,All India Hindustan Congress Party,0,8th Pass,,
1897,Khambe Dnyandev Ramchandra,DAPOLI,IND,0,12th Pass,"Rs 11,34,000 ~ 11 Lacs+","Rs 2,56,000 ~ 2 Lacs+"
1898,Khan Mahmoodul Hasan,KALINA,IND,0,Graduate Professional,"Rs 2,10,58,567 ~ 2 Crore+","Rs 15,00,000 ~ 15 Lacs+"
1899,Khan Mohd. Arif (Naseem),CHANDIVALI,INC,7,Literate,,
1900,Khan Saeed (Gabbar),PATHRI,Rashtriya Samaj Paksha,1,10th Pass,"Rs 12,31,74,610 ~ 12 Crore+","Rs 4,09,49,013 ~ 4 Crore+"
1901,Khan Shamim Banu,MANKHURD SHIVAJINAGAR,IND,3,5th Pass,"Rs 1,02,48,500 ~ 1 Crore+","Rs 7,27,700 ~ 7 Lacs+"
1902,Khandu Gahininath Thorat,KOPARGAON,IND,0,Graduate,,
1903,Kharat Ravindra Babasaheb,MEERA BHAYANDAR,IND,0,Graduate,"Rs 15,845 ~ 15 Thou+","Rs 87,000 ~ 87 Thou+"
1904,Kharat Siddharth Pralhad,MEHKAR (SC),IND,0,10th Pass,"Rs 12,50,500 ~ 12 Lacs+","Rs 65,000 ~ 65 Thou+"
1905,Kharat Siddharth Rambhau,MEHKAR (SC),Shiv Sena (Uddhav Balasaheb Thackeray),0,Post Graduate,,
1906,Kharate Sunil Baldeorao,BADNERA,Shiv Sena (Uddhav Balasaheb Thackeray),10,Post Graduate,"Rs 11,67,03,170 ~ 11 Crore+","Rs 1,04,32,768 ~ 1 Crore+"
1907,Khare Raju Dnyanu,MOHOL (SC),NCP-Sharadchandra Pawar,0,10th Pass,"Rs 3,97,92,900 ~ 3 Crore+","Rs 18,12,750 ~ 18 Lacs+"
1908,Kharole Eng. Sujit Vikram,ARJUNI MORGAON (SC),IND,0,Graduate Professional,,
